SPI,Residential,Agriculture,Commercial,Industrial,Infrastructure,Transport
-1.49,0,0,0,0,0,0
-1.5,0,0.2851,0,0,0.0656,0.0057
-1.503803176,0,1.1259,0.0001,0.0001,0.259,0.0225
-1.506349668,0.0001,1.6967,0.0002,0.0001,0.3902,0.0339
-1.506413533,0.0001,1.711,0.0002,0.0001,0.3935,0.0342
-1.508052978,0.0001,2.0779,0.0003,0.0001,0.4779,0.0416
-1.514716823,0.0001,3.5654,0.0005,0.0002,0.82,0.0713
-1.516207581,0.0001,3.8972,0.0005,0.0002,0.8964,0.0779
-1.526887451,0.0002,6.2652,0.0008,0.0004,1.441,0.1253
-1.52922822,0.0002,6.782,0.0009,0.0004,1.5598,0.1356
-1.543197184,0.0003,9.8496,0.0013,0.0006,2.2654,0.197
-1.54432994,0.0004,10.0971,0.0013,0.0006,2.3223,0.2019
-1.554807593,0.0004,12.3783,0.0016,0.0007,2.847,0.2476
-1.599710601,0.0008,21.9831,0.0029,0.0013,5.0561,0.4397
-1.662946644,0.0012,35.062,0.0045,0.0021,8.0642,0.7012
-1.79747511,0.0022,61.3056,0.0079,0.0036,14.1003,1.2261
-2.500240295,0.0061,172.635,0.0224,0.0102,39.706,3.4527
